model,persona,factor,n_items,score_1to5,z_vs_humans
anthropic/claude-sonnet-5,high_A,A,10,5.0,1.685590112725791
anthropic/claude-sonnet-5,high_A,C,10,3.7,0.48356108780949825
anthropic/claude-sonnet-5,high_A,E,10,3.1,0.2043459174714661
anthropic/claude-sonnet-5,high_A,N,10,3.9,1.1401185081910075
anthropic/claude-sonnet-5,high_A,O,10,3.9,-0.06291444282710648
anthropic/claude-sonnet-5,high_C,A,10,4.3,0.734890669564036
anthropic/claude-sonnet-5,high_C,C,10,5.0,2.2424570423488026
anthropic/claude-sonnet-5,high_C,E,10,2.8,-0.12489025460930679
anthropic/claude-sonnet-5,high_C,N,10,4.4,1.7210410131288492
anthropic/claude-sonnet-5,high_C,O,10,4.1,0.2605531295487624
anthropic/claude-sonnet-5,low_A,A,10,1.0,-3.746978133912808
anthropic/claude-sonnet-5,low_A,C,10,3.1,-0.3282370450547963
anthropic/claude-sonnet-5,low_A,E,10,2.0,-1.0028533801580335
anthropic/claude-sonnet-5,low_A,N,10,3.0,0.09445799930289317
anthropic/claude-sonnet-5,low_A,O,10,3.6,-0.5481158013909102
anthropic/claude-sonnet-5,low_C,A,10,2.8,-1.3023224229254384
anthropic/claude-sonnet-5,low_C,C,10,1.0,-3.169530510079827
anthropic/claude-sonnet-5,low_C,E,10,3.4,0.5335820895522385
anthropic/claude-sonnet-5,low_C,N,10,2.7,-0.2540955036598114
anthropic/claude-sonnet-5,low_C,O,10,2.9,-1.6802523047064533
anthropic/claude-sonnet-5,none,A,10,4.4,0.8707048757300018
anthropic/claude-sonnet-5,none,C,10,4.1,1.0247598430523606
anthropic/claude-sonnet-5,none,E,10,2.8,-0.12489025460930679
anthropic/claude-sonnet-5,none,N,10,4.7,2.069594516091554
anthropic/claude-sonnet-5,none,O,10,4.5,0.9074882743005017
openai/gpt-5.2,high_A,A,10,5.0,1.685590112725791
openai/gpt-5.2,high_A,C,10,4.1,1.0247598430523606
openai/gpt-5.2,high_A,E,10,3.5,0.6433274802458295
openai/gpt-5.2,high_A,N,10,4.6,1.9534100151039848
openai/gpt-5.2,high_A,O,10,4.7,1.2309558466763713
openai/gpt-5.2,high_C,A,10,4.2,0.5990764633980715
openai/gpt-5.2,high_C,C,10,4.9,2.107157353538087
openai/gpt-5.2,high_C,E,10,3.1,0.2043459174714661
openai/gpt-5.2,high_C,N,10,4.5,1.837225514116417
openai/gpt-5.2,high_C,O,10,4.4,0.7457544881125676
openai/gpt-5.2,low_A,A,10,1.0,-3.746978133912808
openai/gpt-5.2,low_A,C,10,3.5,0.21296171018806656
openai/gpt-5.2,low_A,E,10,3.2,0.3140913081650571
openai/gpt-5.2,low_A,N,10,3.8,1.023934007203439
openai/gpt-5.2,low_A,O,10,4.7,1.2309558466763713
openai/gpt-5.2,low_C,A,10,4.2,0.5990764633980715
openai/gpt-5.2,low_C,C,10,1.0,-3.169530510079827
openai/gpt-5.2,low_C,E,10,2.8,-0.12489025460930679
openai/gpt-5.2,low_C,N,10,4.0,1.2563030091785756
openai/gpt-5.2,low_C,O,10,4.1,0.2605531295487624
openai/gpt-5.2,none,A,10,4.3,0.734890669564036
openai/gpt-5.2,none,C,10,4.5,1.565958598295224
openai/gpt-5.2,none,E,10,2.7,-0.23463564530289727
openai/gpt-5.2,none,N,10,4.8,2.1857790170791214
openai/gpt-5.2,none,O,10,4.5,0.9074882743005017
